FIO_owner,Company_name,INN_company,Ownership,Region,Source,Ownership_date
Иванов И.И.,ООО Ромашка,7701234567,50.0,Москва,Kommersant,2021-03-12
Сидоров С.С.,ООО Ромашка,7701234567,50.0,Москва,,2021-03-15
Петров П.П.,ООО Лютик,7801234567,100.0,Санкт-Петербург,RBC,2020-04-01
Петров П.П.,ООО Лютик,7801234567,30.0,Санкт-Петербург,Forbes,2022-05-10
Иванов И.И.,ООО Лютик,7801234567,30.0,Москва,Forbes,2022-05-10
Смирнов А.А.,АО Вектор,5401234567,25.0,Новосибирск,Kommersant,2019-07-01
Смирнов А.А.,АО Вектор,5401234567,25.0,Новосибирск,,2019-07-01
Кузнецова Е.В.,ООО Альфа,,40.0,Москва,RBC,2020-06-05
Орлов Д.Д.,ООО Альфа,7723456789,70.0,Москва,Kommersant,2020-06-05
Орлов Д.Д.,ООО Альфа,7723456789,35.0,Москва,Forbes,2021-08-01
Лебедев М.М.,ООО Гамма,6601234567,,Екатеринбург,Kommersant,2021-11-12
Иванов И.И.,ООО Гамма,6601234567,60.0,Екатеринбург,,2021-11-12
